id,text,target_predito,target_llm,target_vader
20056.0,Terrific menu full of unique rolls and special dishes .,positive,positive,positive
20060.0,"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",positive,positive,positive
20064.0,"I have had so many dinners here and it 's always been perfect - on a date with my husband , with my mom , with girlfriends and larger groups .",positive,positive,positive
20068.0,The atmosphere is great ! ! !,positive,positive,positive
20072.0,I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am .,positive,positive,positive
20076.0,Food is great and inexpensive .,positive,positive,positive
20080.0,My husband and I enjoyed each of the 6 taste size portions and left completely full .,positive,positive,positive
20084.0,Great pizza and fantastic service .,positive,positive,positive
20088.0,"Ambiance and music funky , which I enjoy .",positive,positive,positive
20092.0,We were a group of 8 and well seved .,positive,positive,positive
20096.0,The pizza was delivered cold and the cheese was n't even fully melted !,negative,negative,neutral
20100.0,"Our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .",positive,positive,positive
20104.0,"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",positive,positive,positive
20108.0,Decor is charming .,positive,positive,positive
20112.0,"Saturday , Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us .",positive,positive,positive
20116.0,Great sushi experience .,positive,positive,positive
20120.0,A great way to make some money is to buy a case of snapple from Costco and sell it right outside for only $ 2.50 .,positive,neutral,positive
20124.0,Best dish is nori-wrapped tuna .,positive,positive,positive
20128.0,And the food was fantastic .,positive,positive,positive
20132.0,"I like Mamoun 's food as well , but side by side , Kati Rolls just produce tastier food hands down .",positive,positive,positive
20136.0,"Even upon delivery , their juicy pork buns are quite good . .",positive,positive,positive
20140.0,"Even with a relatively inexpensive botle of wine , if you can call $ 70.00 inexpensive , the cost is through the roof for better than average fare .",positive,negative,positive
20144.0,I was pretty much full after our fondue appetizer .,positive,positive,positive
20148.0,But the thing that my wife and I hated was it was so loud and it felt like ' bar ' or ' pub ' .,negative,negative,negative
20152.0,"As much as I like the food there , I ca n't bring myself to go back .",negative,negative,positive
20156.0,"The staff are attentive , and have smiles on their faces .",positive,positive,positive
20160.0,"From the entrees to the sides to the drinks , everything was creatively prepared yet still simple .",positive,positive,positive
20164.0,"Emilio , the owner , is often sitting in the front table greeting guests as they come and go .",positive,positive,positive
20168.0,After dealing with subpar pizza all over the Kensington neighborhood - I 've found little toninos .,positive,positive,neutral
20172.0,The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group .,negative,negative,negative
20176.0,"While the food was excellent , it was n't cheap ( though not extremely expensive either ) .",positive,positive,positive
20180.0,We were told that they were booked solid and no other table was available .,negative,neutral,negative
20184.0,"It was nice and fresh , but I ca n't give it high scores on being authentic thai .",positive,neutral,positive
20188.0,The place is so cool and the service is prompt and curtious .,positive,positive,positive
20192.0,Why do people rave about the ambience .,positive,neutral,neutral
20196.0,"I went at 6:00 PM specifically for the pre-theater menu ( $ 19.95 for roasted tomato soup with chevre , steak frites , creme brulee ) and it was marvelous .",positive,positive,positive
20200.0,"The waiters are sweet , the food is tasty and the bill is never too large .",negative,positive,positive
20204.0,The food is usually good but it certainly is n't a relaxing place to go .,positive,neutral,positive
20208.0,I 'm still mad that i had to pay for lousy food .,negative,negative,negative
20212.0,Ambiance - relaxed and stylish .,positive,positive,positive
20216.0,Your money could easily be better spent elsewhere ( Anywhere ) .,positive,negative,positive
20220.0,It wo n't break the bank but I also wouldnt come back for the food .,negative,negative,neutral
20224.0,"Because of the delicate thin crust , take-out pies get soggy in their boxes .",negative,negative,positive
20228.0,"Over price , and small portions .",positive,negative,neutral
20232.0,"I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .",positive,positive,neutral
20236.0,"Their sake list was extensive , but we were looking for Purple Haze , which was n't listed but made for us upon request !",positive,positive,neutral
20240.0,I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS .,positive,positive,positive
20244.0,The pizza was pretty good and huge .,positive,positive,positive
20248.0,Be careful of portions - they 're HUGE .,positive,positive,positive
20252.0,The hot and sour soup was unbearably hot and tasted of only pepper and nothing else .,negative,negative,neutral
20256.0,"The food is expensive , but worth every bite .",positive,positive,positive
20260.0,There is also very limited seating and there can be a substantial wait in getting food at peak times .,positive,negative,negative
20264.0,"Perhaps this food is considered extreme to an Upper East Side resident , but for the rest of us who 've actually eaten ethnic food , this is simply dull .",positive,negative,negative
20268.0,All of my co-workers stated that the food was amazing and wondered why they had n't heard about this place .,positive,positive,positive
20272.0,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .",positive,positive,positive
20276.0,"Oh yes , and they lie on the phone , claiming they have seating in the garden , then of course the seats are not available .",negative,negative,positive
20280.0,I have to say I have never had a disapointing meal here .,negative,positive,neutral
20284.0,"those rolls were big , but not good and sashimi was n't fresh .",positive,negative,negative
20288.0,Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,positive,positive,positive
20292.0,"Service was excellent , and the AC worked very well too ( thank God , it was hot ! ) .",positive,positive,positive
20296.0,I love to visit Murrays for my bagel fix .,positive,positive,positive
20300.0,"The Bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .",positive,positive,positive
20304.0,The decor is very simple but comfortable .,positive,positive,positive
20308.0,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",positive,positive,positive
20312.0,The owners and employees are friendly and their pizza is fantastic .,positive,positive,positive
20316.0,"For some reason , all the seafood on the menu was unavailable except for the Salmon .",negative,negative,neutral
20320.0,The dim sum is delectable while the prices are quite easy on the wallet .,positive,positive,positive
20324.0,Best Reuben sandwich ever !,positive,positive,positive
20328.0,"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",positive,negative,positive
20332.0,Great bagels made the old-fashioned way .,positive,positive,positive
20336.0,The design and atmosphere is just as good .,positive,positive,positive
20340.0,"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",positive,positive,positive
20344.0,"It can not be the ambience , because the place is very cramped and some guests have to sit in an aisle .",positive,negative,neutral
20348.0,Not impressed with the food .,positive,negative,negative
20352.0,"When I saw that their website had a link to da Ciro in Napoli , I knew there was going to be good pizza !",positive,positive,positive
20356.0,The food was very expensive ( we spent $ 160 for lunch for two ) but extremely tasty .,negative,positive,neutral
20360.0,But the pizza is way to expensive .,negative,negative,neutral
20364.0,The plain pizza was soggy and the creative wild mushroom ( third generation-Fornini ) pizza we had was drenched with truffle oil in the middle ( again making it soggy ) and nothingon the rest .,negative,negative,positive
20368.0,"Service was very good - prompt , attentive and non-intrusive .",positive,positive,positive
20372.0,Unique apppetizers .,positive,positive,neutral
20376.0,Decor is nice though service can be spotty .,positive,neutral,positive
20380.0,"As far as the service goes , the waitresses were not particularly friendly , but they got the job done .",negative,neutral,negative
20384.0,"Staffs are not that friendly , but the taste covers all .",negative,positive,negative
20388.0,"The view is spectacular , and the food is great .",positive,positive,positive
20392.0,The price very reasonable .,positive,positive,neutral
20396.0,"While the ambiance and atmosphere were great , the food and service could have been a lot better .",positive,negative,positive
20400.0,"Bottom line : B+ for the food , F for the service .",positive,negative,neutral
20404.0,You get the sense that the people there care about their restaurant and about your experience and that is very nice .,positive,positive,positive
20408.0,The tastes makes your mouth water for more .,positive,positive,neutral
20412.0,The secret is the lunch menu which offers a complimentary appetizer with every entree ordered .,positive,positive,positive
20416.0,We could have made a meal of the yummy dumplings from the dumpling menu .,positive,positive,positive
20420.0,"I almost wanted to write a bad review , so no one would ever go here and I could have all the dumplings to myself !",positive,positive,negative
20424.0,We did have to wait at the bar for approx .,negative,neutral,neutral
20428.0,"Try the crunchy tuna , it is to die for .",positive,positive,negative
20432.0,"A gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",negative,negative,positive
20436.0,They treated us well and the food was extremely fresh and well-prepared .,positive,positive,positive
20440.0,I can not imagine a friendlier staff working in a restaurant .,negative,positive,negative
20444.0,"Though you will undoubtedly be seated at a table with what seems like barely enough room ( no matter what the size of your party ) , the warm atomosphere is worth the cramped quarters- you 'll have fun and forgot about the tight spot you 're in .",positive,positive,positive
20448.0,"I would n't even have complained at all if the food at least tasted good but the quality of food was crappy , too .",negative,negative,negative
20452.0,"By far , the best pizza in Manhattan .",positive,positive,positive
20456.0,"The service , however , was a bright flower in a garden .",positive,positive,positive
20460.0,"believe us , we 've been eating sushi for over 15 yrs .",positive,positive,neutral
20464.0,"The chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm .",positive,positive,positive
20468.0,"If it is n't for the food ( A+++ ) , it must be the service or the ambience .",positive,positive,neutral
20472.0,All of the pizzas are terrific and the price is even better !,positive,positive,positive
20476.0,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices , great atmosphere , good service and a wonderful wine list .",positive,positive,positive
20480.0,The food was bland oily .,negative,negative,neutral
20484.0,LOVE the atmosphere - felt like I was in Paris .,positive,positive,positive
20488.0,Service was slow had to wait to order and get food although not crowded .,negative,negative,neutral
20492.0,The fries are yummy .,positive,positive,positive
20496.0,Great food at reasonable prices .,positive,positive,positive
20500.0,The prices are wonderfully low .,positive,positive,positive
20504.0,The hostess and the waitress were incredibly rude and did everything they could to rush us out .,negative,negative,negative
20508.0,"Really though , where 's the seasoning ?",positive,negative,neutral
20512.0,The website and rating makes this place look wonderful but in reality it was very disappointing .,negative,negative,negative
20516.0,Ive been here so many times the waiters know my name .,positive,positive,neutral
20520.0,The sushi seemed pretty fresh and was adequately proportioned .,positive,positive,positive
20524.0,"Other than being a little crowded and a bit overpriced , the atmosphere is filled with energy ( and the beautiful people of course ) and the food was surprising good !",positive,positive,positive
20528.0,"The food is mostly made from scratch , fresh and well prepared .",positive,positive,positive
20532.0,"I like the ambience , it 's very dark and original .",positive,positive,positive
20536.0,"One would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so .",negative,negative,positive
20540.0,"Also , specify if you like your food spicy- its rather bland if you do n't .",positive,neutral,positive
20544.0,"The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",positive,positive,positive
20548.0,After passing by this restaurant for sometime I finally decided to go in and have dinner .,positive,neutral,neutral
20552.0,The service is fine and they allow you to enjoy the view .,positive,positive,positive
20556.0,I do suggest to ask to be seated upstairs if you are looking to be a little cozy .,positive,positive,neutral
20560.0,"We started with lox and mussels ( the best ive ever had , ever ) and had the cod and trout for dinner .",positive,positive,positive
20564.0,The food here does a great service to the name ( Cantonese that is ... ) .,positive,positive,positive
20568.0,"Although the tables may be closely situated , the candle-light , food-quality and service overcompensate .",positive,positive,neutral
20572.0,The staff is also attentive and friendly .,positive,positive,positive
20576.0,And they have these home made potato chips at the bar that are the most delicious things in the world !,positive,positive,positive
