,text,text
29,"(0.0, 0.684, 0.316, 0.5719, 'Positive')",this is the perfect date spot for williamsburg couples  
30,"(0.271, 0.729, 0.0, -0.7243, 'Negative')",if i could rate the people this place would be off the charts   unfortunately   the pizza   sorry   not the best in nyc  
31,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",the lamb meat was under cooked and extrmely chewy  
32,"(0.0, 0.764, 0.236, 0.7579, 'Positive')",the pesto pizza was excellent   thin crust pizza with a nice amount of spicy italian cheese that i 'd never heard of before  
33,"(0.104, 0.758, 0.137, 0.1779, 'Positive')",the in house lady dj on saturday nights has outrageously good taste in music   and moreover   takes requests  
34,"(0.069, 0.874, 0.057, -0.0865, 'Negative')",they are still living in the dark ages and do not have an answering machine   so if you want to make a reservation you are limited  
35,"(0.0, 0.84, 0.16, 0.6369, 'Positive')",so all i 'm trying to say is this restaurant is by far the best thai food restaurant i 've ever been to  
36,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",the last two times i ordered from here my food was soo spicy that i could barely eat it   and the spice took away from the flavor of the dish  
37,"(0.0, 0.808, 0.192, 0.7684, 'Positive')",the bruscetta is a bit soggy   but the salads were fresh   included a nice mix of greens ( not iceberg ) all dishes are served piping hot from the kitchen  
38,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",and at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water  
39,"(0.194, 0.742, 0.063, -0.5815, 'Negative')",if you 're not familiar with the cuisine   you may encounter problems ordering here and be sure to bring plenty of cash with you as they do n't accept credit cards  
40,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",it is what modern cuisine is all about  
41,"(0.0, 0.762, 0.238, 0.3597, 'Positive')",in fact   two people could really share one plate  
42,"(0.073, 0.732, 0.195, 0.5413, 'Positive')",very excited to hear that short term chef jason narone has moved on   he truly was a low point of their sterling track record  
43,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",all the money went into the interior decoration   none of it went to the chefs  
44,"(0.212, 0.788, 0.0, -0.5423, 'Negative')",besides   when you have bad service   that 's less money you have to tip  
45,"(0.0, 0.881, 0.119, 0.2263, 'Positive')",and the fried clams had just enough kick to them to make 'em worth eating  
46,"(0.0, 0.737, 0.263, 0.6474, 'Positive')",so   a little inconsistency there but either way   both pizzas were really good  
47,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",it costs     extra to turn a regular roll into an inside out roll   but the roll more than triples in size   and that 's not just from the rice  
48,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",pizza was a little soggy  
49,"(0.0, 0.735, 0.265, 0.5574, 'Positive')",the staff was the friendliest that have seen in new york  
50,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",we began with the cheese fondue ( the artisanal blend ) and added apples and kielbasa to dip  
51,"(0.094, 0.744, 0.162, 0.2732, 'Positive')",the service was attentive   yet unimposing   the food was far better than many notorious restaurants in midtown and the wine list is extensive and well priced  
52,"(0.0, 0.533, 0.467, 0.7906, 'Positive')",this is such a lovely   peaceful place to eat outside  
53,"(0.0, 0.678, 0.322, 0.8221, 'Positive')",the quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect    !
54,"(0.0, 0.513, 0.487, 0.5859, 'Positive')",ambience is delightful   service impeccable  
55,"(0.0, 0.635, 0.365, 0.7845, 'Positive')",the pizza is delicious and the proprietor is one of the nicest in nyc  
56,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",the waiter was attentive  
57,"(0.329, 0.671, 0.0, -0.5991, 'Negative')",late nite omelletes are not good here   there is no variety !
58,"(0.0, 0.635, 0.365, 0.7845, 'Positive')",the entertainment was great they have shows that go on through out the dinner  
59,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",for those prices and the dressed up atmosphere you expect more and should get more  
60,"(0.0, 0.693, 0.307, 0.6114, 'Positive')",and they provided a delicious dessert on the house !
61,"(0.0, 0.927, 0.073, 0.1877, 'Positive')",do n't go alone     even two people is n't enough for the whole experience   with pickles and a selection of meats and seafoods  
62,"(0.0, 0.807, 0.193, 0.7351, 'Positive')",having discovered ping 's on the internet   we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in  
63,"(0.0, 0.381, 0.619, 0.7579, 'Positive')",great value for the quality ingredients  
64,"(0.0, 0.834, 0.166, 0.4574, 'Positive')",the bar has various selections and the mixed drink special is a catcher !   for   's  
65,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",fish was overdone  
66,"(0.0, 0.927, 0.073, 0.2023, 'Positive')",monday nights are a bargain at the      prix fix   this includes a three course meal plus *three* glasses of wine paired with each course  
67,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",the kitchen however   is almost always slow  
68,"(0.0, 0.547, 0.453, 0.7003, 'Positive')",terrific menu full of unique rolls and special dishes  
69,"(0.0, 0.353, 0.647, 0.9001, 'Positive')",great friendly service   fast seating   fast delivery   excellent sushi  
70,"(0.0, 0.875, 0.125, 0.5719, 'Positive')",i have had so many dinners here and it 's always been perfect   on a date with my husband   with my mom   with girlfriends and larger groups  
71,"(0.0, 0.547, 0.453, 0.7163, 'Positive')",the atmosphere is great ! ! !
72,"(0.0, 0.839, 0.161, 0.6124, 'Positive')",i live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of the pizza place at  am  
73,"(0.0, 0.494, 0.506, 0.6249, 'Positive')",food is great and inexpensive  
74,"(0.0, 0.809, 0.191, 0.5106, 'Positive')",my husband and i enjoyed each of the   taste size portions and left completely full  
75,"(0.0, 0.28, 0.72, 0.8271, 'Positive')",great pizza and fantastic service  
76,"(0.146, 0.521, 0.333, 0.4215, 'Positive')",ambiance and music funky   which i enjoy  
77,"(0.0, 0.769, 0.231, 0.2732, 'Positive')",we were a group of   and well seved  
78,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",the pizza was delivered cold and the cheese was n't even fully melted !
79,"(0.0, 0.704, 0.296, 0.7096, 'Positive')",our favorite meal is a pesto pizza   the house salad   and a good bottle of wine  
80,"(0.0, 0.667, 0.333, 0.7574, 'Positive')",i highly recommend cafe st  bart 's for their food   the ambience and wonderful service  
81,"(0.0, 0.345, 0.655, 0.5859, 'Positive')",decor is charming  
82,"(0.0, 0.847, 0.153, 0.5859, 'Positive')",saturday   nov   th i had a group from work come in with about    people and the staff was amazing to accomodate us  
83,"(0.0, 0.328, 0.672, 0.6249, 'Positive')",great sushi experience  
84,"(0.0, 0.843, 0.157, 0.6249, 'Positive')",a great way to make some money is to buy a case of snapple from costco and sell it right outside for only         
85,"(0.0, 0.543, 0.457, 0.6369, 'Positive')",best dish is nori wrapped tuna  
86,"(0.0, 0.526, 0.474, 0.5574, 'Positive')",and the food was fantastic  
87,"(0.0, 0.837, 0.163, 0.3182, 'Positive')",i like mamoun 's food as well   but side by side   kati rolls just produce tastier food hands down  
88,"(0.0, 0.738, 0.262, 0.4927, 'Positive')",even upon delivery   their juicy pork buns are quite good    
89,"(0.0, 0.888, 0.112, 0.4404, 'Positive')",even with a relatively inexpensive botle of wine   if you can call         inexpensive   the cost is through the roof for better than average fare  
90,"(0.0, 0.714, 0.286, 0.4939, 'Positive')",i was pretty much full after our fondue appetizer  
91,"(0.181, 0.718, 0.101, -0.5499, 'Negative')",but the thing that my wife and i hated was it was so loud and it felt like ' bar ' or ' pub '  
92,"(0.0, 0.857, 0.143, 0.3612, 'Positive')",as much as i like the food there   i ca n't bring myself to go back  
93,"(0.0, 0.744, 0.256, 0.4767, 'Positive')",the staff are attentive   and have smiles on their faces  
94,"(0.0, 0.761, 0.239, 0.5267, 'Positive')",from the entrees to the sides to the drinks   everything was creatively prepared yet still simple  
95,"(0.0, 0.86, 0.14, 0.3818, 'Positive')",emilio   the owner   is often sitting in the front table greeting guests as they come and go  
96,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",after dealing with subpar pizza all over the kensington neighborhood   i 've found little toninos  
97,"(0.087, 0.913, 0.0, -0.3182, 'Negative')",the manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group  
98,"(0.0, 0.802, 0.198, 0.5719, 'Positive')",while the food was excellent   it was n't cheap ( though not extremely expensive either )  
99,"(0.139, 0.759, 0.101, -0.1531, 'Negative')",we were told that they were booked solid and no other table was available  
100,"(0.0, 0.809, 0.191, 0.3716, 'Positive')",it was nice and fresh   but i ca n't give it high scores on being authentic thai  
101,"(0.0, 0.786, 0.214, 0.4572, 'Positive')",the place is so cool and the service is prompt and curtious  
102,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",why do people rave about the ambience  
103,"(0.0, 0.865, 0.135, 0.5994, 'Positive')",i went at      pm specifically for the pre theater menu (         for roasted tomato soup with chevre   steak frites   creme brulee ) and it was marvelous  
104,"(0.0, 0.824, 0.176, 0.4588, 'Positive')",the waiters are sweet   the food is tasty and the bill is never too large  
105,"(0.168, 0.586, 0.246, 0.1551, 'Positive')",the food is usually good but it certainly is n't a relaxing place to go  
106,"(0.474, 0.526, 0.0, -0.7964, 'Negative')",i 'm still mad that i had to pay for lousy food  
107,"(0.0, 0.484, 0.516, 0.4939, 'Positive')",ambiance   relaxed and stylish  
108,"(0.0, 0.629, 0.371, 0.6486, 'Positive')",your money could easily be better spent elsewhere ( anywhere )  
109,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",it wo n't break the bank but i also wouldnt come back for the food  
110,"(0.0, 0.915, 0.085, 0.0516, 'Positive')",because of the delicate thin crust   take out pies get soggy in their boxes  
111,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",over price   and small portions  
112,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",i had the cod with paella ( spicy and very filling   i 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again   a big serving   at least   pieces of fish and a basketful of fries )  
113,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",their sake list was extensive   but we were looking for purple haze   which was n't listed but made for us upon request !
114,"(0.0, 0.715, 0.285, 0.5563, 'Positive')",i really enjoyed the shows put on by the actors  
115,"(0.0, 0.323, 0.677, 0.8126, 'Positive')",the pizza was pretty good and huge  
116,"(0.0, 0.562, 0.438, 0.4404, 'Positive')",be careful of portions   they 're huge  
117,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",the hot and sour soup was unbearably hot and tasted of only pepper and nothing else  
118,"(0.0, 0.749, 0.251, 0.3291, 'Positive')",the food is expensive   but worth every bite  
119,"(0.104, 0.81, 0.086, -0.101, 'Negative')",there is also very limited seating and there can be a substantial wait in getting food at peak times  
120,"(0.116, 0.884, 0.0, -0.5499, 'Negative')",perhaps this food is considered extreme to an upper east side resident   but for the rest of us who 've actually eaten ethnic food   this is simply dull  
121,"(0.0, 0.84, 0.16, 0.5859, 'Positive')",all of my co workers stated that the food was amazing and wondered why they had n't heard about this place  
122,"(0.0, 0.678, 0.322, 0.8979, 'Positive')",the decor is vibrant and eye pleasing with several semi private boths on the right side of the dining hall   which are great for a date  
123,"(0.0, 0.891, 0.109, 0.4019, 'Positive')",oh yes   and they lie on the phone   claiming they have seating in the garden   then of course the seats are not available  
124,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",i have to say i have never had a disapointing meal here  
125,"(0.357, 0.643, 0.0, -0.6759, 'Negative')",those rolls were big   but not good and sashimi was n't fresh  
126,"(0.147, 0.674, 0.179, 0.2289, 'Positive')",mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though )  
127,"(0.0, 0.56, 0.44, 0.8746, 'Positive')",service was excellent   and the ac worked very well too ( thank god   it was hot ! )  
128,"(0.0, 0.656, 0.344, 0.6369, 'Positive')",i love to visit murrays for my bagel fix  
129,"(0.0, 0.647, 0.353, 0.7964, 'Positive')",the bagels have an outstanding taste with a terrific texture   both chewy yet not gummy  
130,"(0.0, 0.553, 0.447, 0.7046, 'Positive')",the decor is very simple but comfortable  
131,"(0.034, 0.836, 0.131, 0.5719, 'Positive')",we are very particular about sushi and were both please with every choice which included   ceviche mix ( special )   crab dumplings   assorted sashimi   sushi and rolls   two types of sake   and the banana tempura  
132,"(0.0, 0.57, 0.43, 0.7783, 'Positive')",the owners and employees are friendly and their pizza is fantastic  
133,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",for some reason   all the seafood on the menu was unavailable except for the salmon  
134,"(0.0, 0.629, 0.371, 0.796, 'Positive')",the dim sum is delectable while the prices are quite easy on the wallet  
135,"(0.0, 0.471, 0.529, 0.6696, 'Positive')",best reuben sandwich ever !
136,"(0.0, 0.803, 0.197, 0.4019, 'Positive')",the porcini mushroom pasta special was tasteless   so was the seafood tagliatelle  
137,"(0.0, 0.594, 0.406, 0.6249, 'Positive')",great bagels made the old fashioned way  
138,"(0.0, 0.707, 0.293, 0.4404, 'Positive')",the design and atmosphere is just as good  
139,"(0.0, 0.8, 0.2, 0.6124, 'Positive')",i tend to judge a sushi restaurant by its sea urchin   which was heavenly at sushi rose  
140,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",it can not be the ambience   because the place is very cramped and some guests have to sit in an aisle  
141,"(0.39, 0.61, 0.0, -0.3724, 'Negative')",not impressed with the food  
142,"(0.0, 0.878, 0.122, 0.4926, 'Positive')",when i saw that their website had a link to da ciro in napoli   i knew there was going to be good pizza !
143,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",the food was very expensive ( we spent       for lunch for two ) but extremely tasty  
144,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",but the pizza is way to expensive  
145,"(0.0, 0.923, 0.077, 0.4404, 'Positive')",the plain pizza was soggy and the creative wild mushroom ( third generation fornini ) pizza we had was drenched with truffle oil in the middle ( again making it soggy ) and nothingon the rest  
146,"(0.0, 0.715, 0.285, 0.4927, 'Positive')",service was very good   prompt   attentive and non intrusive  
147,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",unique apppetizers  
148,"(0.0, 0.714, 0.286, 0.4215, 'Positive')",decor is nice though service can be spotty  
149,"(0.102, 0.898, 0.0, -0.2317, 'Negative')",as far as the service goes   the waitresses were not particularly friendly   but they got the job done  
150,"(0.168, 0.832, 0.0, -0.2057, 'Negative')",staffs are not that friendly   but the taste covers all  
151,"(0.0, 0.661, 0.339, 0.6249, 'Positive')",the view is spectacular   and the food is great  
152,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",the price very reasonable  
153,"(0.0, 0.682, 0.318, 0.7906, 'Positive')",while the ambiance and atmosphere were great   the food and service could have been a lot better  
154,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",bottom line   b  for the food   f for the service  
155,"(0.0, 0.751, 0.249, 0.7425, 'Positive')",you get the sense that the people there care about their restaurant and about your experience and that is very nice  
156,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",the tastes makes your mouth water for more  
157,"(0.0, 0.828, 0.172, 0.4404, 'Positive')",the secret is the lunch menu which offers a complimentary appetizer with every entree ordered  
158,"(0.076, 0.643, 0.281, 0.5423, 'Positive')",we could have made a meal of the yummy dumplings from the dumpling menu  
159,"(0.256, 0.744, 0.0, -0.7639, 'Negative')",i almost wanted to write a bad review   so no one would ever go here and i could have all the dumplings to myself !
160,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",we did have to wait at the bar for approx  
161,"(0.328, 0.672, 0.0, -0.5994, 'Negative')",try the crunchy tuna   it is to die for  
162,"(0.0, 0.797, 0.203, 0.6249, 'Positive')",a gentleman   maybe the manager   came to our table   and without so much as a smile or greeting asked for our order  
163,"(0.0, 0.501, 0.499, 0.788, 'Positive')",they treated us well and the food was extremely fresh and well prepared  
164,"(0.199, 0.801, 0.0, -0.357, 'Negative')",i can not imagine a friendlier staff working in a restaurant  
165,"(0.02, 0.754, 0.226, 0.8814, 'Positive')",though you will undoubtedly be seated at a table with what seems like barely enough room ( no matter what the size of your party )   the warm atomosphere is worth the cramped quarters  you 'll have fun and forgot about the tight spot you 're in  
166,"(0.172, 0.702, 0.126, -0.514, 'Negative')",i would n't even have complained at all if the food at least tasted good but the quality of food was crappy   too  
167,"(0.0, 0.588, 0.412, 0.6369, 'Positive')",by far   the best pizza in manhattan  
168,"(0.0, 0.756, 0.244, 0.4404, 'Positive')",the service   however   was a bright flower in a garden  
169,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",believe us   we 've been eating sushi for over    yrs  
170,"(0.0, 0.781, 0.219, 0.4939, 'Positive')",the chicken pot pie is excpetiona   the cheeseburger huge and delictable   and the service professional wan warm  
171,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",if it is n't for the food ( a    )   it must be the service or the ambience  
172,"(0.0, 0.636, 0.364, 0.7424, 'Positive')",all of the pizzas are terrific and the price is even better !
173,"(0.066, 0.552, 0.382, 0.9423, 'Positive')",i am amazed by the poor reviews  i find this place to be standout italian in an area flooded with italian  great prices   great atmosphere   good service and a wonderful wine list  
174,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",the food was bland oily  
175,"(0.0, 0.511, 0.489, 0.7717, 'Positive')",love the atmosphere   felt like i was in paris  
176,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",service was slow had to wait to order and get food although not crowded  
177,"(0.0, 0.469, 0.531, 0.5267, 'Positive')",the fries are yummy  
178,"(0.0, 0.494, 0.506, 0.6249, 'Positive')",great food at reasonable prices  
179,"(0.233, 0.333, 0.433, 0.4215, 'Positive')",the prices are wonderfully low  
180,"(0.171, 0.829, 0.0, -0.5095, 'Negative')",the hostess and the waitress were incredibly rude and did everything they could to rush us out  
181,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",really though   where 's the seasoning ?
182,"(0.225, 0.664, 0.111, -0.5251, 'Negative')",the website and rating makes this place look wonderful but in reality it was very disappointing  
183,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",ive been here so many times the waiters know my name  
184,"(0.0, 0.56, 0.44, 0.6705, 'Positive')",the sushi seemed pretty fresh and was adequately proportioned  
185,"(0.0, 0.705, 0.295, 0.8832, 'Positive')",other than being a little crowded and a bit overpriced   the atmosphere is filled with energy ( and the beautiful people of course ) and the food was surprising good !
186,"(0.0, 0.559, 0.441, 0.6486, 'Positive')",the food is mostly made from scratch   fresh and well prepared  
187,"(0.0, 0.612, 0.388, 0.6204, 'Positive')",i like the ambience   it 's very dark and original  
188,"(0.068, 0.829, 0.103, 0.1027, 'Positive')",one would think we 'd get an apology or complimentary drinks   instead   we got a snobby waiter would n't even take our order for    minutes and gave us lip when we asked him to do so  
189,"(0.0, 0.848, 0.152, 0.3612, 'Positive')",also   specify if you like your food spicy  its rather bland if you do n't  
190,"(0.128, 0.667, 0.206, 0.34, 'Positive')",the anti pasta was excellent   especially the calamari   as were the filling pasta mains  
191,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",after passing by this restaurant for sometime i finally decided to go in and have dinner  
192,"(0.0, 0.566, 0.434, 0.7096, 'Positive')",the service is fine and they allow you to enjoy the view  
193,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",i do suggest to ask to be seated upstairs if you are looking to be a little cozy  
194,"(0.0, 0.833, 0.167, 0.6369, 'Positive')",we started with lox and mussels ( the best ive ever had   ever ) and had the cod and trout for dinner  
195,"(0.0, 0.773, 0.227, 0.6249, 'Positive')",the food here does a great service to the name ( cantonese that is     )  
196,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",although the tables may be closely situated   the candle light   food quality and service overcompensate  
197,"(0.0, 0.652, 0.348, 0.4939, 'Positive')",the staff is also attentive and friendly  
198,"(0.0, 0.824, 0.176, 0.6468, 'Positive')",and they have these home made potato chips at the bar that are the most delicious things in the world !
